INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
0,T,190409,090854,40.713984N,73.951586W,8    ,35  ,69 ,         
1,T,190409,090855,40.713974N,73.951446W,8    ,37  ,71 ,         
2,T,190409,090856,40.713971N,73.95131W,8    ,37  ,73 ,         
3,T,190409,090857,40.713963N,73.951173W,8    ,37  ,75 ,         
4,T,190409,090858,40.713956N,73.951044W,8    ,37  ,77 ,         
5,T,190409,090859,40.713951N,73.950918W,8    ,37  ,78 ,         
6,T,190409,090900,40.713946N,73.950791W,8    ,37  ,80 ,         
7,T,190409,090901,40.713966N,73.950661W,9    ,38  ,81 ,         
8,T,190409,090902,40.713986N,73.950533W,9    ,38  ,82 ,         
9,T,190409,090903,40.713986N,73.950404W,10   ,37  ,83 ,         
10,T,190409,090904,40.713984N,73.950281W,10   ,37  ,84 ,         
11,T,190409,090905,40.713995N,73.950158W,10   ,37  ,85 ,         
12,T,190409,090906,40.713996N,73.950036W,11   ,37  ,87 ,         
13,T,190409,090907,40.713996N,73.949914W,11   ,36  ,88 ,         
14,T,190409,090908,40.714003N,73.949793W,12   ,36  ,89 ,         
15,T,190409,090909,40.714008N,73.949676W,12   ,34  ,89 ,         
16,T,190409,090910,40.714011N,73.949564W,13   ,33  ,89 ,         
17,T,190409,090911,40.714011N,73.949451W,13   ,33  ,89 ,         
18,T,190409,090912,40.714013N,73.949336W,14   ,34  ,88 ,         
19,T,190409,090913,40.714016N,73.949219W,14   ,36  ,87 ,         
20,T,190409,090914,40.714028N,73.949098W,15   ,38  ,85 ,         
21,T,190409,090915,40.71404N,73.948971W,16   ,40  ,84 ,         
22,T,190409,090916,40.714049N,73.948843W,16   ,39  ,84 ,         
23,T,190409,090917,40.714064N,73.948718W,17   ,38  ,84 ,         
24,T,190409,090918,40.71408N,73.948593W,18   ,38  ,83 ,         
25,T,190409,090919,40.714098N,73.948468W,18   ,39  ,83 ,         
26,T,190409,090920,40.714108N,73.948338W,19   ,39  ,84 ,         
27,T,190409,090921,40.714114N,73.948206W,20   ,41  ,85 ,         
28,T,190409,090922,40.714133N,73.948081W,20   ,40  ,86 ,         
29,T,190409,090923,40.714153N,73.947968W,21   ,33  ,85 ,         
30,T,190409,090924,40.714171N,73.947889W,22   ,19  ,83 ,         
31,T,190409,090925,40.714193N,73.947846W,23   ,8   ,82 ,         
32,T,190409,090926,40.714226N,73.947836W,23   ,8   ,77 ,         
33,T,190409,090927,40.714244N,73.947833W,24   ,9   ,72 ,         
34,T,190409,090928,40.714248N,73.947833W,24   ,8   ,356,         
35,T,190409,090929,40.714256N,73.947846W,24   ,5   ,356,         
36,T,190409,090930,40.71426N,73.947853W,24   ,4   ,356,         
37,T,190409,090931,40.714241N,73.947848W,25   ,0   ,356,         
38,T,190409,090932,40.714226N,73.947848W,25   ,0   ,356,         
39,T,190409,090933,40.714211N,73.947848W,25   ,0   ,356,         
40,T,190409,090934,40.714196N,73.947848W,24   ,0   ,356,         
41,T,190409,090935,40.714195N,73.947848W,25   ,0   ,356,         
42,T,190409,090936,40.714193N,73.947848W,25   ,0   ,356,         
43,T,190409,090937,40.714191N,73.947846W,25   ,0   ,356,         
44,T,190409,090938,40.71419N,73.947848W,25   ,0   ,356,         
45,T,190409,090939,40.714188N,73.947848W,25   ,0   ,356,         
46,T,190409,090940,40.714184N,73.947851W,25   ,0   ,356,         
47,T,190409,090941,40.714183N,73.947855W,25   ,0   ,356,         
48,T,190409,090942,40.714181N,73.947856W,25   ,0   ,356,         
49,T,190409,090943,40.714181N,73.947856W,25   ,0   ,356,         
50,T,190409,090944,40.714181N,73.947855W,25   ,0   ,356,         
51,T,190409,090945,40.714181N,73.947853W,25   ,0   ,356,         
52,T,190409,090946,40.714181N,73.947851W,25   ,0   ,356,         
